Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Season
Fred Brown,33.0,SEA,SG,82.0,2.0,21.8,4.8,10.5,45.714285714285715,0.3,0.9,33.33333333333333,4.5,9.6,46.875,47.14285714285714,1.4,1.6,87.49999999999999,0.5,1.2,1.7,2.9,0.8,0.0,1.2,1.4,11.2,No Awards,1981-82
James Silas,32.0,CLE,SG,67.0,34.0,21.6,3.7,8.6,43.02325581395349,0.0,0.1,0.0,3.7,8.5,43.529411764705884,43.02325581395349,3.7,4.3,86.04651162790698,0.4,1.2,1.6,3.3,0.6,0.1,1.6,1.6,11.2,No Awards,1981-82
Darwin Cook,23.0,NJN,PG,82.0,17.0,25.5,4.7,9.8,47.95918367346938,0.1,0.4,25.0,4.6,9.4,48.93617021276595,48.46938775510204,1.4,2.0,70.0,0.6,1.3,1.9,3.9,1.8,0.3,2.1,2.4,11.0,No Awards,1981-82
Bob Wilkerson,27.0,CLE,SF,65.0,38.0,27.8,4.4,10.4,42.30769230769231,0.0,0.3,0.0,4.3,10.2,42.15686274509804,42.30769230769231,2.2,2.8,78.57142857142858,0.9,2.9,3.8,3.6,1.4,0.4,2.1,2.9,11.0,No Awards,1981-82
Scott Wedman,29.0,CLE,SF,54.0,39.0,30.3,4.8,10.9,44.03669724770642,0.1,0.4,25.0,4.7,10.5,44.761904761904766,44.49541284403669,1.2,1.7,70.58823529411765,2.4,3.3,5.6,2.5,1.4,0.3,1.4,3.5,10.9,No Awards,1981-82
Charlie Criss,33.0,2TM,PG,55.0,20.0,25.3,4.0,9.1,43.956043956043956,0.2,0.5,40.0,3.9,8.5,45.88235294117647,45.05494505494505,2.6,2.9,89.65517241379311,0.2,1.3,1.5,3.4,0.8,0.1,1.5,1.7,10.8,No Awards,1981-82
Larry Drew,23.0,KCK,PG,81.0,19.0,24.4,4.4,9.3,47.31182795698925,0.1,0.3,33.333333333333336,4.3,9.0,47.77777777777777,47.84946236559139,1.9,2.3,82.6086956521739,0.4,1.5,1.8,5.2,1.4,0.0,2.1,1.9,10.8,No Awards,1981-82
Billy McKinney,26.0,DEN,PG,81.0,27.0,24.2,4.6,8.6,53.48837209302325,0.0,0.2,0.0,4.6,8.4,54.76190476190476,53.48837209302325,1.7,2.1,80.95238095238095,0.4,1.4,1.8,4.2,0.9,0.2,1.4,2.3,10.8,No Awards,1981-82
Frank Johnson,23.0,WSB,PG,79.0,29.0,25.7,4.3,10.3,41.74757281553398,0.2,1.0,20.0,4.0,9.3,43.01075268817204,42.71844660194174,1.9,2.6,73.07692307692307,0.4,1.4,1.9,4.8,1.0,0.1,2.0,2.5,10.7,No Awards,1981-82
Tom Owens,32.0,IND,PF,74.0,40.0,21.6,4.0,8.6,46.51162790697674,0.0,0.0,0.0,4.0,8.6,46.51162790697674,46.51162790697674,2.4,3.1,77.41935483870968,1.9,3.1,5.0,1.7,0.6,0.5,1.9,3.5,10.5,No Awards,1981-82
