Player,Age,Team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,TS%,EFF,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Season,SMOY_Candidate,Pos_C,Pos_PF,Pos_PG,Pos_SF,Pos_SG,SMOY_Eligible
Eddie Johnson,29.0,PHO,70.0,7.0,29.2,8.7,17.5,49.71428571428571,1.0,2.5,40.0,7.7,15.0,51.33333333333333,52.57142857142857,3.1,3.6,86.11111111111111,56.3299098721442,25.71428571428571,1.3,3.1,4.4,2.3,0.7,0.1,1.7,2.8,21.5,6MOY-1,1988-89,1,0,0,0,1,0,1
Thurl Bailey,27.0,UTA,82.0,3.0,33.9,7.5,15.5,48.38709677419355,0.0,0.1,0.0,7.5,15.5,48.38709677419355,48.38709677419355,4.4,5.4,81.4814814814815,54.54240322219736,20.60975609756098,1.4,4.0,5.5,1.7,0.6,1.1,2.5,2.3,19.5,6MOY-2,1988-89,1,0,0,0,1,0,1
Dennis Rodman,27.0,DET,82.0,8.0,26.9,3.9,6.5,60.0,0.1,0.3,33.333333333333336,3.8,6.2,61.29032258064515,60.76923076923077,1.2,1.9,63.1578947368421,61.34133042529989,19.999999999999996,4.0,5.4,9.4,1.2,0.7,0.9,1.5,3.6,9.0,"DPOY-3,6MOY-3",1988-89,1,0,0,0,1,0,1
Ricky Pierce,30.0,MIL,59.0,0.0,29.0,8.5,16.7,50.898203592814376,0.8,2.3,34.78260869565218,7.7,14.5,53.10344827586208,53.2934131736527,5.2,6.2,83.87096774193549,59.1929174387482,29.83050847457628,1.1,1.7,2.8,2.3,0.8,0.1,2.2,2.7,23.0,6MOY-1,1989-90,1,0,0,0,0,1,1
John Williams,23.0,WSB,18.0,18.0,35.1,7.2,15.2,47.36842105263158,0.1,1.0,10.0,7.1,14.2,50.0,47.69736842105263,3.6,4.7,76.59574468085107,52.69863331016909,114.99999999999996,1.5,6.1,7.6,4.7,1.2,0.5,2.4,1.8,18.2,6MOY-3,1989-90,1,0,0,0,1,0,0
Eddie Johnson,30.0,PHO,64.0,4.0,28.3,6.4,14.2,45.07042253521127,1.1,2.9,37.93103448275863,5.3,11.3,46.90265486725663,48.94366197183098,2.9,3.2,90.625,54.13890312660175,20.78125,1.1,2.8,3.8,1.7,0.5,0.2,1.7,2.7,16.9,6MOY-3,1989-90,1,0,0,0,1,0,1
Detlef Schrempf,27.0,IND,78.0,18.0,33.0,5.4,10.5,51.42857142857144,0.2,0.6,33.333333333333336,5.2,9.9,52.52525252525253,52.38095238095239,5.2,6.3,82.53968253968254,61.03074141048824,25.384615384615383,1.9,6.0,7.9,3.2,0.8,0.2,2.3,3.5,16.2,6MOY-2,1989-90,1,0,1,0,0,0,1
Orlando Woolridge,30.0,LAL,62.0,2.0,22.9,4.9,8.9,55.0561797752809,0.0,0.1,0.0,4.9,8.8,55.68181818181818,55.0561797752809,2.8,3.9,71.7948717948718,59.8153730218538,19.67741935483871,0.8,2.2,3.0,1.5,0.6,0.7,1.2,2.6,12.7,6MOY-3,1989-90,1,0,0,0,1,0,1
Kevin McHale,33.0,BOS,68.0,10.0,30.4,7.4,13.4,55.223880597014926,0.2,0.5,40.0,7.2,12.9,55.81395348837209,55.970149253731336,3.4,4.0,85.0,60.68601583113456,31.17647058823529,2.1,4.9,7.1,1.9,0.4,2.1,2.1,2.9,18.4,"MVP-19,6MOY-3,AS",1990-91,1,0,1,0,0,0,1
Detlef Schrempf,28.0,IND,82.0,3.0,32.1,5.3,10.1,52.47524752475248,0.2,0.5,40.0,5.1,9.6,53.125,53.465346534653456,5.4,6.6,81.81818181818183,61.90402952937559,25.24390243902439,2.2,5.9,8.0,3.7,0.7,0.3,2.1,3.2,16.1,6MOY-1,1990-91,1,0,1,0,0,0,1
Dan Majerle,25.0,PHO,77.0,7.0,29.6,5.2,10.7,48.5981308411215,0.4,1.1,36.36363636363637,4.8,9.5,50.526315789473685,50.46728971962617,2.9,3.9,74.35897435897436,54.76804123711341,20.38961038961039,2.2,3.2,5.4,2.8,1.4,0.5,1.5,2.1,13.6,6MOY-2,1990-91,1,0,0,0,1,0,1
Šarūnas Marčiulionis,27.0,GSW,72.0,5.0,29.4,6.8,12.7,53.54330708661418,0.0,0.1,0.0,6.8,12.5,54.400000000000006,53.54330708661418,5.2,6.6,78.7878787878788,60.56139451422712,23.472222222222225,0.9,1.9,2.9,3.4,1.6,0.1,2.7,3.3,18.9,6MOY-2,1991-92,1,0,0,0,0,1,1
Dan Majerle,26.0,PHO,82.0,15.0,34.8,6.7,14.1,47.5177304964539,1.1,2.8,39.28571428571429,5.7,11.3,50.4424778761062,51.41843971631206,2.8,3.7,75.67567567567566,54.99745676500509,23.29268292682928,1.8,4.1,5.9,3.3,1.6,0.5,1.2,1.9,17.3,"6MOY-3,AS",1991-92,1,0,0,0,1,0,1
Detlef Schrempf,29.0,IND,80.0,4.0,32.6,6.2,11.6,53.448275862068975,0.3,0.9,33.33333333333333,5.9,10.7,55.14018691588786,54.741379310344826,4.6,5.5,83.63636363636363,61.69757489300999,29.25,2.5,7.1,9.6,3.9,0.8,0.5,2.4,3.6,17.3,"MVP-16,6MOY-1",1991-92,1,0,1,0,0,0,1
Clifford Robinson,26.0,POR,82.0,12.0,31.4,7.7,16.3,47.23926380368098,0.2,0.9,22.222222222222225,7.5,15.4,48.701298701298704,47.85276073619632,3.5,5.1,68.62745098039215,51.49913718723037,22.92682926829268,2.0,4.6,6.6,2.2,1.2,2.0,2.1,3.5,19.1,6MOY-1,1992-93,1,0,1,0,0,0,1
Danny Ainge,33.0,PHO,80.0,0.0,27.0,4.2,9.1,46.15384615384615,1.9,4.7,40.42553191489361,2.3,4.5,51.11111111111111,56.593406593406606,1.5,1.8,83.33333333333333,59.644156894460174,15.250000000000002,0.6,2.1,2.7,3.3,0.9,0.1,1.4,2.2,11.8,6MOY-2,1992-93,1,0,0,0,0,1,1
Anthony Mason,26.0,NYK,81.0,0.0,30.6,3.9,7.8,50.0,0.0,0.0,0.0,3.9,7.8,50.0,50.0,2.5,3.6,69.44444444444444,54.88064791133846,17.654320987654327,2.9,5.0,7.9,2.1,0.5,0.2,1.7,3.0,10.3,6MOY-2,1992-93,1,0,1,0,0,0,1
Dell Curry,29.0,CHH,82.0,0.0,26.5,6.5,14.3,45.45454545454545,1.9,4.6,41.30434782608695,4.6,9.7,47.42268041237113,52.09790209790209,1.4,1.6,87.49999999999999,54.318848307118095,17.317073170731707,0.9,2.3,3.2,2.7,1.2,0.3,1.5,2.0,16.3,6MOY-1,1993-94,1,0,0,0,0,1,1
Craig Ehlo,32.0,ATL,82.0,0.0,26.2,3.9,8.6,45.34883720930233,0.9,2.7,33.33333333333333,2.9,5.9,49.15254237288135,50.58139534883721,1.4,1.9,73.68421052631578,52.98855447223399,14.51219512195122,0.9,2.5,3.4,3.3,1.7,0.3,1.6,2.0,10.0,6MOY-3,1993-94,1,0,0,0,0,1,1
Nate McMillan,29.0,SEA,73.0,8.0,25.8,2.4,5.4,44.44444444444444,0.7,1.8,38.888888888888886,1.7,3.6,47.22222222222222,50.92592592592592,0.4,0.8,50.0,52.1557719054242,18.356164383561644,0.7,3.2,3.9,5.3,3.0,0.3,1.7,2.8,6.0,"DPOY-7,6MOY-2",1993-94,1,0,0,1,0,0,1
Dell Curry,30.0,CHH,69.0,0.0,24.9,5.0,11.3,44.24778761061947,2.2,5.2,42.30769230769231,2.7,6.0,45.0,53.98230088495575,1.4,1.6,87.49999999999999,56.647784071976005,15.652173913043482,0.6,1.8,2.4,1.6,0.8,0.3,1.4,2.1,13.6,6MOY-2,1994-95,1,0,0,0,0,1,1
Chuck Person,30.0,SAS,81.0,1.0,25.1,3.9,9.3,41.93548387096774,2.1,5.5,38.18181818181819,1.8,3.8,47.36842105263158,53.2258064516129,0.8,1.3,61.53846153846154,54.70016207455431,10.864197530864196,0.6,2.6,3.2,1.3,0.6,0.1,1.3,2.4,10.8,6MOY-3,1994-95,1,0,0,0,1,0,1
Anthony Mason,28.0,NYK,77.0,11.0,32.4,3.7,6.6,56.06060606060607,0.0,0.0,0.0,3.7,6.6,56.06060606060607,56.06060606060607,2.5,3.9,64.1025641025641,59.52380952380953,21.688311688311693,2.4,6.1,8.4,3.1,0.9,0.3,1.6,3.3,9.9,6MOY-1,1994-95,1,0,1,0,0,0,1
Arvydas Sabonis,31.0,POR,73.0,21.0,23.8,5.4,9.9,54.54545454545456,0.5,1.4,35.714285714285715,4.9,8.5,57.64705882352942,57.07070707070707,3.2,4.2,76.19047619047619,61.71263193735104,25.753424657534246,2.0,6.0,8.1,1.8,0.9,1.1,2.1,2.9,14.5,"ROY-2,6MOY-2",1995-96,1,1,0,0,0,0,1
Toni Kukoč,27.0,CHI,81.0,20.0,26.0,4.8,9.7,49.48453608247423,1.1,2.7,40.74074074074075,3.7,7.0,52.85714285714286,55.154639175257735,2.5,3.3,75.75757575757575,58.73385939741751,18.024691358024693,1.4,2.6,4.0,3.5,0.8,0.3,1.4,1.9,13.1,6MOY-1,1995-96,1,0,0,0,1,0,1
